weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
M416,166,0.108,0.18181818181818182,42.74045454545455,23.71,53.48,5.0,0.0,11.0,1.0,1.0,4.0,0.0,cjcx
Vector,33,0.121,0.0,11.2375,11.19,11.29,0.0,0.0,2.0,0.0,2.0,0.0,0.0,cjcx
ACE32,44,0.25,0.21428571428571427,28.679285714285715,23.88,32.43,1.0,0.0,8.0,1.0,2.0,2.0,0.0,l6611299
Beryl M762,8,0.25,0.0,27.215,26.94,27.49,0.0,0.0,2.0,0.0,0.0,0.0,0.0,l6611299
M24,2,1.0,0.0,66.61,49.15,84.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,l6611299
AKM,27,0.037,0.0,135.87,135.87,135.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Strawberry7vRn
Frag Grenade,2,0.5,0.0,72.18,72.18,72.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SH-B0
ACE32,16,0.375,0.45454545454545453,2.7427272727272727,1.62,3.52,0.0,0.0,9.0,0.0,0.0,2.0,0.0,ddbwlgns502
Mk12,14,0.357,0.0,139.374,74.59,232.98,0.0,0.0,4.0,1.0,0.0,0.0,0.0,ying604
MP5K,24,0.25,0.25,82.435,81.62,83.09,1.0,0.0,4.0,1.0,0.0,2.0,0.0,Laity-1995
MP5K,33,0.182,0.5384615384615384,3.4384615384615387,2.1,4.65,0.0,0.0,10.0,1.0,0.0,2.0,0.0,skrud1199
M416,18,0.333,0.0,17.953333333333333,15.15,21.63,0.0,0.0,5.0,0.0,0.0,1.0,0.0,lPVZavV2FiXGb
AUG,36,0.083,0.75,38.655,15.79,50.17,9.0,0.0,1.0,1.0,0.0,1.0,0.0,SigMap_
Frag Grenade,2,0.0,1.0,63.15,63.15,63.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SigMap_
AUG,92,0.152,0.125,50.720625,1.33,112.34,4.0,0.0,9.0,0.0,1.0,2.0,0.0,N2_bogege
M24,1,0.0,1.0,71.99,71.99,71.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,N2_bogege
M416,9,0.0,1.0,10.364,10.36,10.38,0.0,0.0,3.0,2.0,0.0,0.0,0.0,ZiShu77-_-
Mk12,101,0.069,0.2222222222222222,101.81222222222222,91.44,109.98,3.0,0.0,3.0,2.0,1.0,0.0,0.0,ZiShu77-_-
MP5K,123,0.057,0.5,7.477857142857142,3.41,20.54,3.0,0.0,7.0,0.0,4.0,0.0,0.0,Fc1L
Mk12,97,0.01,0.8,66.998,18.0,157.58,1.0,0.0,3.0,0.0,0.0,1.0,0.0,Fc1L
Vector,29,0.138,0.6666666666666666,5.394166666666667,2.22,7.89,0.0,0.0,3.0,0.0,3.0,6.0,0.0,Fc1L
Vector,19,0.158,0.0,2.24,2.22,2.27,1.0,0.0,1.0,0.0,1.0,0.0,0.0,TLG_GsPao
Frag Grenade,1,1.0,0.0,6544.81,6544.81,6544.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DaJ8__0913
Mk12,21,0.048,0.0,108.64,108.64,108.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DaJ8__0913
SCAR-L,20,0.05,0.0,5.47,5.47,5.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DaJ8__0913
Frag Grenade,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o0oOo0o0ooOo_-
MP5K,75,0.253,0.2962962962962963,237.6648148148148,214.06,259.42,13.0,0.0,9.0,5.0,0.0,0.0,0.0,o0oOo0o0ooOo_-
Kar98k,1,1.0,0.0,126.48,126.48,126.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Aspirant0730
M416,12,0.0,1.0,1.22,1.22,1.22,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Aspirant0730
Vector,33,0.03,0.0,84.4,84.4,84.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aspirant0730
Mk12,42,0.024,0.0,214.7,214.7,214.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9_Dragon_Dynasty
Beryl M762,37,0.162,0.14285714285714285,83.07142857142857,74.18,89.89,2.0,0.0,2.0,0.0,1.0,2.0,0.0,shiniaod
Frag Grenade,1,1.0,0.0,72.87,72.87,72.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,shiniaod
Frag Grenade,4,0.5,0.5,63.029999999999994,62.12,64.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4AM_SuperYxMms
MP5K,9,0.444,0.3333333333333333,30.886666666666667,29.81,31.88,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4AM_SuperYxMms
