,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,차원의 가보,압수됨!,휴대용 이상 현상
럭스,6,10,1,4,7,2,0,4,66,21,4,3,4,26,4,61,6,27,17,9,2,83,16,0,101,0,5,13,51,0,23,47,18,31,2,0,6,129,171,2,23,5,3,27,9,0,0,0,0,0,0,27,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,4,13,0,0,8,0,0,8,26,0,0,3,0,1,0,0,0,3,0,1,0,15,1,28,5,78,1,0,0,10,8,11,3,29,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,32,3,58,3,1,5,0,28,0,4,0,0,0,0,5,7,4,4,0,0,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
모데카이저,7,846,11,11,20,7,20,36,120,287,0,70,26,170,960,305,762,115,0,28,191,1017,17,0,60,0,2222,49,23,22,160,216,103,12,28,16,22,2,24,18,29,351,43,0,0,6,20,0,38,1,0,2,95,1,8,10,1,2,0,3,16,8,6,22,1,1,4,3,56,1,3,0,24,1,0,1,0,9,9,1,0,1,0,0,27,0,2,164,26,7,403,3,61,1,30,7,35,0,112,0,1624,21,0,2,3,3,0,0,0,1,0,2,28,0,2,59,0,168,2,2,0,4,2,0,57,11,0,51,0,0,2,0,107,55,61,1,1,3,42,0,37,3,17,24,72,2,7,76,18,173,39,0,3,0,0,0,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,16
모르가나,36,16,18,3,48,15,18,40,123,382,11,15,31,502,24,96,45,862,68,58,8,1278,46,0,494,0,79,659,117,2,385,284,1152,99,28,11,30,989,728,21,98,24,16,33,28,0,0,4,2,55,13,26,5,0,0,0,1,0,1,0,0,0,27,3,2,6,0,10,0,3,0,10,0,0,0,19,13,0,0,5,0,0,1,55,0,4,14,46,17,0,27,2,21,0,13,0,1626,29,225,3,646,7,0,1,25,8,21,10,79,0,0,4,0,0,0,0,0,2,0,6,0,0,0,92,3,26,2,13,0,0,75,9,0,15,5,7,2,14,0,17,18,12,1,0,7,1,0,0,2,43,10,97,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,17
트리스타나,102,17,10,22,53,346,7,28,223,96,20,3,25,489,26,4205,290,1013,40,3473,6,23,719,1,1,5,121,28,31,17,373,8,214,87,1,14,273,263,150,6,31,16,14,84,35,0,0,617,30,10,9,89,3,17,1,0,20,0,0,28,2,0,0,3,74,4,31,2,6,0,6,2,0,0,9,13,54,4,0,0,3,111,22,81,0,0,2,52,4,0,0,0,6,3,21,0,72,4,11,5,27,0,3,8,8,21,28,0,57,2,9,3,127,0,0,3,0,13,0,13,0,0,0,0,3,1,0,0,0,5,72,24,109,7,671,19,7,17,8,29,4,14,3,5,25,0,23,90,19,147,9,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
스웨인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우르곳,48,3300,17,22,25,29,31,6,37,185,8,26,28,46,76,79,405,24,0,119,12,20,65,2,17,10,276,25,12,23,37,6,65,70,41,32,37,20,9,35,17,2816,43,53,14,16,167,5,39,0,3,125,4,0,76,0,0,2,1,0,24,0,0,16,0,0,1,0,3,0,2,0,4,0,0,2,0,2,70,0,7,2,11,3,22,0,0,0,45,0,11,0,38,0,5878,266,14,2,23,2,11,0,2,24,25,3,0,4,4,10,3,10,0,0,0,43,0,0,143,0,42,48,4,0,0,0,1,0,0,3,25,6,5,12,0,20,7,25,23,19,10,23,4,66,13,0,9,0,24,6,31,52,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
조이,10,4,4,0,40,11,4,22,277,142,0,1,0,801,22,2851,110,400,7,27,3,5179,11,0,1221,0,75,395,70,2,1794,784,1158,54,12,1,25,5111,902,9,61,8,3,4,0,0,0,20,7,108,19,0,50,19,0,0,5,0,0,0,1,0,57,0,53,11,1,11,0,4,0,20,4,0,0,187,34,3,0,37,0,0,0,3,0,2,51,49,0,0,14,0,7,0,8,0,158,0,510,5,2593,17,0,0,2,51,1,0,3,0,0,1,8,0,0,1,0,0,0,30,0,0,0,20,36,43,0,14,0,0,6,2,91,1,2,4,7,0,1,26,3,10,41,2,19,0,13,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
빅토르,90,46,26,18,73,180,38,110,68,477,1,25,25,214,111,99,164,106,11,143,13,342,127,0,237,2,85,597,125,10,180,220,678,165,8,16,74,66,171,6,62,42,36,14,17,0,0,2,3,1,23,7,3,1,2,0,3,0,0,0,7,0,13,0,6,1,1,9,4,0,1,8,7,0,0,0,3,0,2,4,0,4,1,26,0,11,10,22,17,0,35,0,29,0,39,0,48,0,116,2,61,0,0,0,7,5,17,0,39,1,0,4,6,0,28,0,0,1,0,0,30,0,0,0,0,2,0,0,0,2,22,5,41,9,49,10,29,72,101,45,17,9,72,12,22,44,43,24,34,168,43,71,10,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
멜,14,42,1,6,24,9,7,90,84,255,2,18,4,283,68,365,153,430,4,31,15,573,37,0,646,0,74,410,60,6,264,285,531,52,11,4,45,906,306,3,65,46,15,8,3,0,0,3,16,31,4,9,21,2,0,0,0,2,0,0,2,0,7,1,0,1,0,1,1,8,0,5,11,0,0,10,14,0,0,18,0,0,0,7,0,7,15,34,11,0,33,3,14,0,16,0,865,3,401,8,335,1,0,0,4,20,0,0,11,0,0,1,2,1,0,2,0,2,0,2,0,0,0,21,12,8,0,1,0,0,3,3,29,12,60,37,47,105,96,33,140,13,104,4,87,21,332,16,34,269,35,29,21,23,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1
워윅,58,1491,140,66,42,149,173,210,65,785,0,138,45,213,832,563,847,124,3,277,74,42,180,4,46,1,275,69,10,46,171,39,123,46,199,140,187,12,57,118,37,1028,321,7,1,3,29,7,51,0,3,6,8,9,24,1,3,0,0,0,7,2,0,15,4,2,2,2,0,1,1,0,22,1,0,3,3,2,12,0,0,2,4,6,31,18,0,9,130,2,72,4,108,0,1018,13,43,0,107,2,64,1,1,1,7,1,4,18,1,5,0,0,1,10,1,24,0,13,0,0,5,11,18,0,8,0,0,3,2,0,1,2,16,42,0,49,154,116,256,71,62,39,148,138,147,145,58,125,156,61,47,143,69,25,1,0,4,0,0,0,0,3,0,1,0,1,4,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,13
