user_name,user_zloa_score,user_damage
디붕마초,2287.14,27.2
찌개,2338.4,31.6
퍼수,2158.55,27.74
공쨔,2123.18,29.63
숨겨진마음,1990.92,25.47
돈까스집17년차접시닦이,2285.29,18.0
트라제,2171.11,2.94
놀러나온드워프,2310.2,2.15
오소동오함마,2041.09,26.94
나랑슈퍼노바할래,2232.08,27.52
국산핵망치,1934.89,24.88
뜀빠,2193.79,25.75
가슴이시키는무지성망치맨,2389.07,26.97
네브라디스크,2107.37,22.11
리치포니아,2187.43,28.68
형근2망치,2317.48,32.55
민둥산해머,2237.21,30.97
디준붕,1958.65,22.37
무력전문망치,2213.99,14.64
수수수수퍼망치,2249.94,25.47
일났다,2293.12,28.87
양준식,2052.38,5.52
가난한루브,1931.25,6.21
판다뽕따,2307.27,26.59
뱁버드,2123.05,24.73
Zeby,2083.43,28.54
니프트,2096.18,22.72
뛰붕디붕,2040.92,26.63
Infirmus,1899.68,25.0
fourback,2428.81,29.34
아앙마려움,2352.19,29.95
빵동이,2297.76,15.48
파괴베어,2268.1,25.1
바키범,2520.99,28.74
세계제일용사,1758.24,31.14
다훈투르,2048.36,23.45
디트뿡빵맨,2129.51,26.07
퍼스맞췄냥,2209.02,4.96
디끙이,2161.75,28.59
문맹이,2076.67,26.26
당당따당,2147.56,26.25
남자다움,1945.04,27.05
개아야,1987.08,25.39
빵갬뽀,2437.53,32.61
역쟁,2084.31,29.07
금강디붕쿤,1901.43,25.85
러쉬킹,2479.26,34.29
불국사삼겹살킬러,2165.41,28.27
떼띠지민,2088.26,24.18
담선,2136.0,28.51
장작패기,1906.8,26.24
박흥식,2112.23,29.04
체리콕사이즈업,2137.68,29.55
퍼스D,2291.24,30.56
밀크티맛있어,2272.36,29.94
김엿츠,2334.06,30.77
햄머박홍규,2211.24,24.36
그랜치킨,2079.94,24.16
막두,2141.1,29.74
곰곰해,2148.47,28.98
망칭,2413.98,3.68
더원립톡,2067.06,23.24
모코코와고슴도치,2310.36,29.08
타르타르해머,2269.8,7.87
하얀맹치,2109.29,23.82
오늘도광대는모코코다,2133.14,24.18
지구함마,1982.06,27.33
신디붕,2280.84,30.6
킴허찌,2052.38,28.33
달달한주니,2415.65,32.58
망기덕,2241.88,26.4
정령미,1716.66,20.46
HAMSYS,2241.94,29.31
디히스,2456.37,32.58
헤비한친구,2042.11,24.7
두리안망치,2260.4,2.44
아나볼릭디트로이더,2311.43,29.13
HoneyHammer,2237.68,9.31
혁신핵망치,1896.37,22.45
강애붕,2374.63,30.42
베르온스,2205.31,25.55
백두루미,2317.46,17.12
째스기,2488.09,26.66
엄착토,2269.0,5.01
통수치기,2195.7,28.16
산이,2106.49,29.18
중국집단무지도둑해던,2255.97,31.23
양형v,2489.98,29.38
변태성,2205.39,3.04
언제가는,2195.64,30.13
망치헤으응,2202.94,30.15
니머리를망치로뚝딱,1935.83,27.25
망치에이스,2077.26,8.41
청소기,2285.09,29.12
쁘띠쁘띠김디붕,2256.34,28.57
1차기기냉각해수펌프,2047.55,26.61
크림우동그랑땡,2168.65,30.38
첨단인,1799.44,25.32
활화격,2449.94,30.31
닉값맨,2259.3,29.09
핫핑크슈가보이,2350.23,5.93
디수그리스도,2514.14,29.97
디트공주,1953.61,17.22
묵은지방어배꼽살,2301.73,25.29
빛이나는망치,2434.73,28.63
아디트는못참지,1910.14,26.18
짓밟아버리자,2292.1,24.9
기부전사,2265.78,27.94
라라크래프트,2250.29,11.14
아니내망치왜이래,2150.16,29.71
물탱망치,2274.51,4.44
대물디트,1843.77,22.11
사다치야,2134.98,28.03
킹찔구,2488.79,31.97
드라우프니르,2250.39,30.02
디스트로OI어,2090.06,28.28
대장디붕,2210.65,30.55
ISH,2061.72,27.51
호크보다디트,2080.54,27.19
디뚜,2052.31,27.76
또니망치,2079.1,24.97
하리보망치,2420.51,30.22
디트불망치,2268.36,30.78
Hellweapon,2349.77,30.17
85세김춘복의마지막여정,2180.42,4.07
뇌가손상된사람,2289.47,29.12
노가다,842.08,5.51
디붕이그렇게하는거아닌데,2184.54,29.1
디붕주의보,2360.77,5.18
잇킹,1933.48,25.88
오함마로대가리뽀사벌라,2064.19,25.8
연돈수석주방장,2255.32,26.21
삿댐,2524.97,31.81
쿵떡총이,2256.06,23.88
김호영규,2218.26,27.27
박천형,2085.69,25.29
든든푸들,2339.98,27.48
난는디트당,2145.07,27.33
다녜모,2215.86,27.75
망치뚜까뚜까,2050.28,2.46
그레이헤임,1996.97,26.33
원량한붕,1811.22,25.38
별빛보는현이,1984.02,26.09
비비빅인절미,2097.23,25.81
남자는돈까스좋아해,2329.15,25.33
신사적인중수,2153.44,29.22
망치손인욱,2013.66,25.04
꿀찔,2143.89,7.42
김밀리망치맨,1980.03,26.62
보글보글장인출신,2094.83,29.02
이거안무거워요,2216.26,26.9
스티브조져스,2185.79,9.47
망치망치노우,2284.11,3.11
후라이드혁명,2054.7,27.24
절디트로소개해주시겠어요,2144.1,27.38
디붕팔이,2185.38,29.77
모승o,2124.93,29.53
간짬뿅망치,2007.53,23.84
중급망치,2198.25,3.54
나쁜쥐,2102.89,27.54
무지성뚝배기장인,2122.17,26.99
슈티,2038.12,25.59
양둔기,2208.37,28.37
쫑호쿤,1834.15,22.0
불굴의선봉대장,2135.48,25.76
혁원디스트로이어,1924.37,26.04
조신한돌쇠,2261.48,29.03
핑크전도자,2050.92,28.04
박밍뀽,2010.55,4.83
차D에이스,2090.51,3.79
추자하,2676.07,27.86
넨네y,2148.81,25.07
842671395,2184.81,29.06
뚝딱뚝딱마공병,2205.46,27.62
hadh1534,2403.79,32.71
파괴혈황,2335.87,29.93
검은이빨내껀데,2142.19,2.14
잔혈딜러김디붕,2522.05,33.13
돈까츠망치,2457.9,33.86
빵지니이,2413.07,29.37
오리할콘,2171.0,30.59
망치맨ss,2141.87,27.69
천마표시멘트팝콘,2363.33,4.49
망치쌉장인,2387.23,33.15
쩜트,2332.72,27.43
꾸악꾸악꾸악꾸악꾸악꾸악,2191.78,29.88
니들이헤드를알아,1947.76,26.62
씨앗호떡한입,2043.85,24.71
강철의,1997.0,26.81
다네꼬,1930.23,13.22
Keratin,2139.53,1.4
민지학살자대재학,2218.68,25.99
PPEOU,2364.5,29.99
물리학과디스트로이어,2363.92,30.65
녹두로,2298.22,24.19
듬직한든든이,2238.72,28.13
니머니요,2092.59,28.46
T라미수,1934.98,24.9
디르에르,2115.45,28.34
포도망,2128.72,26.38
한글학습지,2140.13,25.16
방햇반,2259.79,29.05
열두글자채우기가힘이든다,1865.23,2.36
2차접종완료자,1816.32,25.18
수원곱창만두,2098.15,25.52
낌대표,2221.93,2.68
악질대장,2057.49,27.93
금형과타노스,1956.39,21.15
쾅쾅이,2042.49,28.68
참피용,1777.05,24.01
전체카드상자,2105.43,2.43
디붕이의길,2217.96,31.0
밤군드,2164.35,29.83
무뼈닭발막창먹고싶다,2127.64,8.1
빠박쥬르,2002.72,26.1
난체,2270.36,3.75
다크엠페럴제노사이드용수,2177.66,26.18
도랴에몽,2093.36,29.19
휴먼언더테이커,2025.0,28.21
슈샤이어귀여움담당,2128.3,3.15
한우다짐육,1996.55,22.48
정바가입니다,2044.78,27.51
페페,2092.32,29.21
디트잘함,2260.05,31.41
망치두두두,2153.63,29.44
망치카록,2197.94,27.59
간다간다디붕이,2064.85,26.48
3머550kg,2082.43,26.89
시몬쓰,2054.23,27.04
미오미오미,2411.63,17.14
새싹디뜨,2266.48,25.3
lalalabubu,1987.8,23.89
담선디트담디담디,2169.45,26.77
환상의겨울,1979.17,26.07
같이좀가줘,2105.73,25.96
깡패복이,2250.35,29.39
찬레키,2036.62,28.06
마크포,2207.7,28.68
숄더임,2176.94,23.57
저는개못합니다,2270.17,31.52
만촌동사나이,2281.03,3.41
앙큼한곰순이,1963.68,23.59
동동머니,2028.41,7.36
뻥디,2350.05,28.83
동네헬스장덤벨도둑,2217.31,27.93
시공의망자,2105.16,29.21
취한감자,1978.37,27.81
디붕모코콩,2237.6,25.45
두덜두덜이,2139.74,28.05
라따땃따,1704.6,20.56
헛스,2269.88,29.74
냉동멍게,2106.67,26.02
소년의망치,2026.92,24.01
힘찬디붕,2368.54,31.93
슥재,2120.73,29.88
쭈쉬,2023.93,26.99
특화디트라정말미안합니다,1894.81,22.06
쿵크루찍푹,2045.7,26.76
방계식,2176.33,24.17
이지금은동은금지은,2308.44,30.25
망친디,2156.63,26.79
홈도링,1940.82,27.27
애오사마,2019.14,23.1
망찍이,1994.2,25.61
냉동다짐육장인,2166.89,26.45
본캐디트1,1864.71,24.95
칸쵸멘,2084.08,24.89
처단도,2401.0,24.53
빅딕,2061.94,27.98
짜롱,2033.87,28.26
골뱅이국수,2176.35,29.23
오리없어도디트인가요,2174.57,28.2
SecSY,2007.58,24.24
KUMl,1971.49,24.42
디붕가고싶은데로간다,1989.02,26.29
도엄배,1952.78,24.79
오붕맨,2149.46,29.91
카류도,2088.6,25.79
그린터치사장,2043.73,26.52
뿅가버려잇,2077.83,26.88
봉디봉디봉,1983.46,25.4
바바리안주현,2128.24,1.88
퍼쓱해요,2384.63,30.08
김춘덕의돈까스망치,1935.59,2.58
결제왕뱅킹,2042.58,14.49
돈까스가루,2141.09,23.11
디스트로이여비,2298.64,31.86
낭만쾅쾅,2242.11,30.17
디스카리온,2392.24,32.29
디붕맨이쓰러지지않아,2388.52,30.95
3인분,1977.53,25.48
서리에요,2492.86,32.08
안녕하세요저는정균입니다,2218.75,13.32
망치휘두르는수달,1985.35,21.63
Risk,2201.29,28.43
임춘만,2115.28,2.71
김일벌,2108.69,26.13
게이k,2071.33,28.69
김세진,2181.65,27.08
