user_name,user_damage
신사적인중수,29.22
막두,29.74
망치손인욱,25.04
망균치,28.32
꿀찔,7.42
김밀리망치맨,26.62
보글보글장인출신,29.02
이거안무거워요,26.9
스티브조져스,9.47
망치망치노우,3.11
후라이드혁명,27.24
절디트로소개해주시겠어요,27.38
보랏입술,31.0
디붕팔이,29.77
쫑호쿤,22.0
불굴의선봉대장,25.76
혁원디스트로이어,26.04
모코코와고슴도치,29.08
조신한돌쇠,29.03
박밍뀽,4.83
차D에이스,3.79
추자하,27.86
넨네y,25.07
842671395,29.06
뚝딱뚝딱마공병,27.62
hadh1534,32.71
파괴혈황,29.93
검은이빨내껀데,2.14
잔혈딜러김디붕,33.13
돈까츠망치,33.86
빵지니이,29.37
오리할콘,30.59
망치맨ss,27.69
천마표시멘트팝콘,4.49
망치쌉장인,33.15
모승o,29.53
쩜트,27.43
꾸악꾸악꾸악꾸악꾸악꾸악,29.88
니들이헤드를알아,26.62
씨앗호떡한입,24.71
강철의,26.81
디스트로OI어,28.28
다네꼬,13.22
Keratin,1.4
민지학살자대재학,25.99
PPEOU,29.99
물리학과디스트로이어,30.65
킹찔구,31.97
녹두로,24.19
듬직한든든이,28.13
니머니요,28.46
T라미수,24.9
디르에르,28.34
포도망,26.38
한글학습지,25.16
방햇반,29.05
열두글자채우기가힘이든다,2.36
2차접종완료자,25.18
수원곱창만두,25.52
낌대표,2.68
악질대장,27.93
일났다,28.87
대물디트,22.11
금형과타노스,21.15
쾅쾅이,28.68
참피용,24.01
중급망치,3.54
전체카드상자,2.43
디붕이의길,31.0
밤군드,29.83
무뼈닭발막창먹고싶다,8.1
빠박쥬르,26.1
간짬뿅망치,23.84
난체,3.75
또니망치,24.97
다크엠페럴제노사이드용수,26.18
도랴에몽,29.19
휴먼언더테이커,28.21
슈샤이어귀여움담당,3.15
한우다짐육,22.48
정바가입니다,27.51
페페,29.21
디트잘함,31.41
망치두두두,29.44
디붕이피시,23.3
새싹디뜨,25.3
lalalabubu,23.89
담선디트담디담디,26.77
환상의겨울,26.07
같이좀가줘,25.96
찬레키,28.06
마크포,28.68
숄더임,23.57
저는개못합니다,31.52
만촌동사나이,3.41
앙큼한곰순이,23.59
동동머니,7.36
뻥디,28.83
동네헬스장덤벨도둑,27.93
머리딱대십쇼,30.59
취한감자,27.81
디붕모코콩,25.45
두덜두덜이,28.05
라따땃따,20.56
헛스,29.74
냉동멍게,26.02
소년의망치,24.01
유쥰,30.96
힘찬디붕,31.93
슥재,29.88
쭈쉬,26.99
특화디트라정말미안합니다,22.06
쿵크루찍푹,26.76
밀크티맛있어,29.94
그랜치킨,24.16
방계식,24.17
이지금은동은금지은,30.25
망친디,26.79
홈도링,27.27
애오사마,23.1
망찍이,25.61
냉동다짐육장인,26.45
본캐디트1,24.95
무지성뚝배기장인,26.99
칸쵸멘,24.89
처단도,24.53
빅딕,27.98
짜롱,28.26
골뱅이국수,29.23
오리없어도디트인가요,28.2
SecSY,24.24
KUMl,24.42
디붕가고싶은데로간다,26.29
나쁜쥐,27.54
도엄배,24.79
오붕맨,29.91
자운파,8.03
뿅가버려잇,26.88
봉디봉디봉,25.4
충동적인망치질,22.34
바바리안주현,1.88
뚝딲,24.53
퍼쓱해요,30.08
김춘덕의돈까스망치,2.58
결제왕뱅킹,14.49
간다간다디붕이,26.48
탱묘띠,16.71
플호,22.24
날카로운해머,23.12
디스트로이여비,31.86
낭만쾅쾅,30.17
디스카리온,32.29
디붕맨이쓰러지지않아,30.95
3인분,25.48
서리에요,32.08
안녕하세요저는정균입니다,13.32
망치휘두르는수달,21.63
Risk,28.43
임춘만,2.71
시공의망자,29.21
김일벌,26.13
게이k,28.69
김세진,27.08
짱쎈남자,25.83
그린터치사장,26.52
자l민,30.0
쀼쉐,29.75
사냐두,30.9
다움빡,27.05
순간망치로한대칠뻔했네,28.62
드라우프니르,30.02
오더발드,23.54
쿵쿵찍찍,26.96
딱딱아재,25.02
계몽실,30.68
복도,25.06
꼬마망치타요,26.49
파괴의나라,20.06
하루는정말집가고싶다,22.96
망치라온,28.01
나봉몬,31.49
옥자간다잇,28.24
랑만돈까스,24.37
시몬쓰,27.04
홍콩서방,27.33
몸짱,24.14
수학귀신,28.94
떡매장인,28.18
이삭먹는아이,26.06
무랴딘,26.85
무결입니다,25.66
미쓰릴,29.57
경매장,24.1
강딩딩,32.65
그래비티트레이닝,4.94
토익만점세종대왕,22.84
봉봉단장,26.15
모코코뿅망치,15.5
디붕곤쥬,30.37
가오철,22.9
사다치야,28.03
한방에영혼을담아,30.51
분쇄형물리치료사,24.23
디트용환,27.25
Error만들기,28.05
봄푸르,25.94
오인쿠,29.69
댈츠,29.05
랄프7,23.1
킴순대,25.08
양둔기,28.37
청검,24.05
내망치는달다,29.41
뚱보잉어,3.15
도지닝,24.43
디붕디붕디붕디디붕이,27.01
디스도로이어,29.52
참철식,27.04
헬창어르신,27.41
두더지잡기쿵쿵쿵,5.31
화추,28.12
큐티섹시찌엽,24.91
조해찬들,28.28
함마오지죠,26.02
깡패복이,29.39
삼천동핵망치,23.85
nacgi9,24.75
이바이바용,3.7
아랫도리빳빳,24.96
바지바지반바지,26.35
거봐라내그럴줄알았다,29.85
핑크전도자,28.04
바우와우,26.57
효트효트,18.05
카류도,25.79
돈까스가루,23.11
행만,14.56
헤머글로빈,24.74
기껀,23.24
볼트마,12.53
다른키엘,23.81
0볼베0,24.64
의문의김해청년,24.47
Infirmus,25.0
폭주반달곰,21.58
KingFace,26.98
해머태윤,17.87
이프파이터,22.17
시드가이아,5.67
구기1,19.83
디트님은왜다리가세개에요,28.95
농협망치남,27.47
혀깨물,28.42
훈이아니다,24.77
뿟쀼뿡,25.27
원각형,24.22
파괴왕이규원,29.36
이태자,29.57
디트상어,28.31
머갈딱딱,25.84
김엿츠,30.77
이태원돈까스윙스,29.14
강명준입니다,26.03
안녕뚱뚱,5.53
우리집고양이츄르를좋아해,28.47
노인공경해줘요,27.48
트림,25.62
알블레이드,28.02
강한이지산,25.27
멘해머,29.04
샤솜이,6.6
사슴반퍼펙트스윙,29.81
울형이빡숙이야,29.66
이겜어떻게해요,30.59
Y망치,24.44
디팩트스윙,28.05
빼앗겠떡,20.35
아몬드그레놀라,28.45
작출,31.9
놀부심보,24.69
킥킥킥,29.8
스틸망치,29.67
망침,25.35
자인푸,23.94
망치사량,30.96
DI붕붕,26.32
빨초,23.13
모콩디붕,29.97
망함구데기,26.88
슈티,25.59
디붕내루미,8.28
강인한모코코뿅망치,3.63
밍브라더,24.49
힘든하루였으니까,26.51
맨독기,24.07
디븡디븡,3.43
하클뒤,28.63
뼈클립,25.68
띠옌,28.31
짖어라복둥아,28.0
와우뚝딱이아저씨야,26.78
닭발과주먹밥,26.38
써니스,26.03
찐쏘니,28.04
노가노사,3.27
옥까스,25.98
다이나마이트섹시,27.39
회귀한망치,28.73
뚝배기는괜찮니,26.71
세기말풋사과,29.85
이형록,27.11
로이더라인,29.33
할부지,28.33
임팬돌,28.85
망치가로아를망치는중이야,21.8
군최망치,2.13
태인태인3,25.84
건전지A,22.73
울아가좌,25.87
힘쎈공룡트리케라톱스,22.04
GGPle,3.55
망치1마이,27.72
간다간다뿅뿅간다,27.76
솔테아웃,8.19
햄자찍,24.25
해머아트,29.15
흑마이걸,27.28
THICCCASE,24.79
용사박태풍,23.6
망치테디,26.5
천공왕자,25.03
주니리,26.09
소화기름,22.05
망치앗하,23.64
1호선망치살인마,24.34
사랑의여전사,12.87
건담이나한테말을건담,31.18
너프먹은노돌리,26.43
디붕콩,22.36
돈까스찍어보리,26.79
망치망치불망치,26.16
박수미스,29.65
상큼페이스,19.01
검은색하리보젤리,27.23
쌀사탕,24.1
부암,25.4
해앰머,28.21
쿵덕쿵아일랜드도지사,26.56
육즙팡팡돈까스,28.34
임밤비,25.96
냥발망이,25.3
TYPOGRAPHY,28.88
전구젤리,27.21
셉스러운디트,26.22
모쏠은대머리,26.64
웃음벨,26.25
오늘도바이,23.03
록스타르,24.8
순두부짬뽕,27.14
돈이없다니까요,1.21
국밥든든맨,17.8
z최강전사z,29.25
할렘가도끼,27.12
붕붕댕,27.57
커맨더스,21.52
박흥두,21.27
박망고양이,27.31
룡신퇴,28.99
디스트로이햄,27.76
머갈통함마,25.68
아이셔테리어,27.19
돈가스사령관,24.4
간스날,26.65
카제로스준구리구리구리,24.74
허끄,25.98
조지어주마,25.63
한우,28.38
세망취,24.63
x뚝배기x,22.3
킹망,4.07
포레,27.99
강원돈까스협회,24.0
순복음교회,24.03
등심돈가스,24.17
카제로스준구리구리구,22.1
카제로스준구리구리,22.89
당신만의하트브레이커,27.73
쫀득흑임자붕어빵,25.67
