,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,압수됨!,휴대용 이상 현상
럭스,11,83,2,0,8,3,0,4,24,22,2,1,6,17,1,23,4,10,14,5,2,54,8,1,235,1,2,6,19,4,7,20,13,24,3,3,2,97,85,0,19,4,2,17,6,0,0,0,0,2,0,19,1,2,4,1,1,0,0,0,0,0,1,0,3,2,0,0,0,2,0,0,0,0,0,4,13,1,0,15,0,0,1,10,0,0,1,0,3,0,2,0,3,0,1,0,13,0,18,1,75,3,0,0,5,2,8,1,23,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,27,0,68,2,1,2,2,7,3,5,1,0,0,0,2,2,3,1,0,0,2,106,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
모데카이저,7,453,16,7,9,14,32,14,68,212,1,71,13,121,612,173,463,94,1,9,119,603,9,2,43,2,1281,32,28,8,81,164,73,25,21,21,21,11,29,16,15,168,38,3,1,1,20,1,22,2,0,0,58,0,7,3,3,2,1,1,7,3,8,13,3,5,1,3,24,4,3,1,16,1,1,0,3,0,3,1,0,2,2,0,8,1,3,97,21,0,298,9,25,2,37,2,23,1,70,3,928,12,0,0,4,5,0,0,1,1,0,0,27,2,2,25,0,93,1,3,1,3,1,1,28,1,1,19,0,0,0,1,88,44,50,1,5,3,17,0,43,1,9,21,28,0,1,28,12,111,40,5,9,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
모르가나,10,3,0,0,6,2,1,6,27,45,0,1,2,35,4,24,3,44,5,3,2,55,3,0,55,1,8,51,4,0,11,20,85,12,1,4,3,105,83,0,7,3,2,7,3,0,0,1,0,2,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,5,0,0,0,0,0,2,5,0,0,4,2,1,0,3,0,2,0,3,0,52,0,18,0,55,1,0,0,4,1,2,0,12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,9,1,2,0,1,0,0,14,4,0,0,0,2,0,6,1,5,1,1,1,0,2,1,0,1,0,55,2,41,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
트리스타나,14,4,2,6,9,155,2,10,63,49,4,2,4,206,14,1918,167,391,2,1564,2,7,342,0,2,0,79,11,1,5,130,4,71,29,4,4,110,170,36,3,4,10,5,15,7,0,0,311,6,15,1,29,1,3,0,2,18,0,0,16,1,0,0,0,46,15,4,0,1,0,1,5,1,0,9,10,21,1,1,0,0,44,2,14,0,0,2,34,3,2,1,1,1,0,5,0,30,2,10,0,3,2,2,2,3,9,8,0,23,0,5,1,48,0,0,4,0,13,0,9,0,0,1,0,5,0,0,0,0,1,13,3,12,1,287,3,3,3,3,7,4,4,5,1,6,0,4,37,9,6,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
스웨인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우르곳,21,1581,7,16,13,11,6,4,25,97,9,7,3,20,37,47,294,11,1,86,10,6,34,6,1,0,230,15,11,13,31,6,18,19,27,24,13,9,11,20,9,1277,23,22,4,4,71,10,43,0,1,91,3,0,47,2,2,1,1,0,11,2,1,3,1,0,4,0,6,0,6,0,3,1,0,0,1,3,42,1,4,1,10,2,19,1,0,1,24,1,14,2,11,1,2475,135,10,1,14,1,8,0,5,2,12,2,2,2,5,4,7,4,2,3,0,27,3,0,63,0,25,30,7,0,0,0,0,0,0,0,7,4,5,5,0,11,3,6,7,5,0,2,4,14,3,0,1,0,14,3,8,29,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조이,2,6,1,1,2,1,3,10,89,73,0,7,2,277,8,1585,34,200,4,23,1,2107,4,0,749,0,34,150,20,0,558,300,473,18,3,1,7,1961,344,4,11,3,1,3,2,0,0,11,0,40,8,0,17,14,0,0,5,0,0,0,2,0,28,0,35,4,0,2,2,8,0,1,2,0,0,71,10,0,0,15,0,0,0,5,0,0,28,36,1,0,3,0,3,0,1,0,83,0,280,1,1182,14,0,0,1,32,1,0,4,0,0,0,1,0,1,0,0,3,0,8,0,0,0,7,9,11,0,3,0,0,0,0,22,1,3,0,1,0,2,5,0,9,21,0,2,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
빅토르,42,17,8,7,27,79,12,78,28,251,2,12,12,123,61,63,103,63,8,67,8,178,66,0,126,1,57,323,63,10,87,156,401,71,11,14,35,34,87,14,29,27,16,16,2,0,0,3,4,0,4,3,1,3,0,0,3,0,0,1,6,1,9,3,1,3,3,7,1,4,0,9,3,0,1,0,0,0,0,5,0,2,0,18,2,6,3,7,12,0,16,0,16,0,17,0,42,0,45,4,30,1,0,0,7,3,8,1,15,1,0,2,0,0,16,0,0,1,0,1,10,1,1,0,1,0,0,1,0,0,6,4,32,3,64,7,7,69,37,23,9,16,39,7,12,33,2,12,11,86,20,39,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
멜,6,30,6,4,2,6,6,28,28,118,0,11,3,105,33,164,81,198,1,17,11,210,6,3,268,1,37,162,18,4,88,111,217,19,2,7,9,409,119,4,23,19,7,2,2,0,1,2,5,11,3,8,6,0,0,1,1,0,0,0,1,0,1,0,5,1,0,4,0,2,0,5,2,0,1,10,3,0,0,2,0,0,1,3,0,4,5,13,5,0,25,0,3,0,7,0,395,7,169,3,172,1,0,0,5,2,3,0,4,0,0,0,0,1,0,1,0,2,1,1,0,0,0,3,6,8,1,2,0,0,0,0,15,15,21,10,16,63,37,19,77,9,55,5,17,7,6,9,8,152,20,24,7,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,1,0,0,2
워윅,21,556,43,11,13,67,69,70,27,311,0,65,21,86,341,223,346,57,1,119,35,22,61,1,22,1,106,20,7,19,57,23,44,15,75,57,55,6,28,48,15,317,116,2,0,6,17,2,23,0,0,4,3,0,7,0,0,0,1,0,5,2,1,9,3,1,1,1,4,0,0,0,7,2,0,0,2,1,5,0,2,1,0,0,19,7,0,4,72,1,28,0,55,1,386,6,27,0,30,0,28,0,0,2,4,1,1,1,1,0,0,1,1,14,0,8,0,4,1,1,5,6,3,0,2,0,0,1,1,0,1,1,7,27,0,12,61,57,83,29,59,18,53,72,37,54,4,62,58,32,16,59,16,6,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
