weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Vector,33,0.121,0.0,11.2375,11.19,11.29,0.0,0.0,2.0,0.0,2.0,0.0,0.0,cjcx
ACE32,44,0.25,0.2142857142857142,28.679285714285715,23.88,32.43,1.0,0.0,8.0,1.0,2.0,2.0,0.0,l6611299
Beryl M762,8,0.25,0.0,27.215,26.94,27.49,0.0,0.0,2.0,0.0,0.0,0.0,0.0,l6611299
M24,2,1.0,0.0,66.61,49.15,84.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,l6611299
AKM,27,0.037,0.0,135.87,135.87,135.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Strawberry7vRn
Frag Grenade,2,0.5,0.0,72.18,72.18,72.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SH-B0
ACE32,16,0.375,0.4545454545454545,2.7427272727272727,1.62,3.52,0.0,0.0,9.0,0.0,0.0,2.0,0.0,ddbwlgns502
Mk12,14,0.357,0.0,139.374,74.59,232.98,0.0,0.0,4.0,1.0,0.0,0.0,0.0,ying604
MP5K,24,0.25,0.25,82.435,81.62,83.09,1.0,0.0,4.0,1.0,0.0,2.0,0.0,Laity-1995
MP5K,33,0.182,0.5384615384615384,3.4384615384615387,2.1,4.65,0.0,0.0,10.0,1.0,0.0,2.0,0.0,skrud1199
M416,18,0.333,0.0,17.953333333333333,15.15,21.63,0.0,0.0,5.0,0.0,0.0,1.0,0.0,lPVZavV2FiXGb
AUG,36,0.083,0.75,38.655,15.79,50.17,9.0,0.0,1.0,1.0,0.0,1.0,0.0,SigMap_
Frag Grenade,2,0.0,1.0,63.15,63.15,63.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SigMap_
AUG,92,0.152,0.125,50.720625,1.33,112.34,4.0,0.0,9.0,0.0,1.0,2.0,0.0,N2_bogege
M24,1,0.0,1.0,71.99,71.99,71.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,N2_bogege
M416,9,0.0,1.0,10.364,10.36,10.38,0.0,0.0,3.0,2.0,0.0,0.0,0.0,ZiShu77-_-
Mk12,101,0.069,0.2222222222222222,101.81222222222222,91.44,109.98,3.0,0.0,3.0,2.0,1.0,0.0,0.0,ZiShu77-_-
MP5K,123,0.057,0.5,7.477857142857142,3.41,20.54,3.0,0.0,7.0,0.0,4.0,0.0,0.0,Fc1L
Mk12,97,0.01,0.8,66.998,18.0,157.58,1.0,0.0,3.0,0.0,0.0,1.0,0.0,Fc1L
Vector,29,0.138,0.6666666666666666,5.394166666666667,2.22,7.89,0.0,0.0,3.0,0.0,3.0,6.0,0.0,Fc1L
Vector,19,0.158,0.0,2.24,2.22,2.27,1.0,0.0,1.0,0.0,1.0,0.0,0.0,TLG_GsPao
Frag Grenade,1,1.0,0.0,6544.81,6544.81,6544.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DaJ8__0913
Mk12,21,0.048,0.0,108.64,108.64,108.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DaJ8__0913
SCAR-L,20,0.05,0.0,5.47,5.47,5.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DaJ8__0913
Frag Grenade,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,o0oOo0o0ooOo_-
MP5K,75,0.253,0.2962962962962963,237.6648148148148,214.06,259.42,13.0,0.0,9.0,5.0,0.0,0.0,0.0,o0oOo0o0ooOo_-
Kar98k,1,1.0,0.0,126.48,126.48,126.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Aspirant0730
M416,12,0.0,1.0,1.22,1.22,1.22,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Aspirant0730
Vector,33,0.03,0.0,84.4,84.4,84.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aspirant0730
Mk12,42,0.024,0.0,214.7,214.7,214.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9_Dragon_Dynasty
Beryl M762,37,0.162,0.1428571428571428,83.07142857142857,74.18,89.89,2.0,0.0,2.0,0.0,1.0,2.0,0.0,shiniaod
Frag Grenade,1,1.0,0.0,72.87,72.87,72.87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,shiniaod
Frag Grenade,4,0.5,0.5,63.03,62.12,64.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4AM_SuperYxMms
MP5K,9,0.444,0.3333333333333333,30.886666666666667,29.81,31.88,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4AM_SuperYxMms
Kar98k,19,0.211,0.0,84.11,1.08,234.72,0.0,0.0,2.0,0.0,2.0,0.0,0.0,qqlishi
ACE32,14,0.071,0.0,72.41,72.41,72.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Deartwogirl
M24,36,0.111,0.0,244.7025,70.66,412.15,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Deartwogirl
Beryl M762,140,0.1,0.2631578947368421,45.52578947368421,6.09,142.52,3.0,0.0,13.0,2.0,1.0,0.0,0.0,Tiam--XiaoHaoYu
Kar98k,4,0.25,0.6666666666666666,231.14333333333332,230.51,231.68,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Tiam--XiaoHaoYu
M24,7,0.286,0.0,99.93,97.45,102.41,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Tiam--XiaoHaoYu
M24,15,0.4,0.0,299.80333333333334,241.79,434.48,0.0,0.0,5.0,0.0,1.0,0.0,0.0,Brother-Yise
M416,45,0.044,0.0,133.225,99.86,166.59,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Brother-Yise
M416,40,0.1,0.0,83.23,60.64,112.7,1.0,0.0,3.0,0.0,0.0,0.0,0.0,RInimageB_
Mini14,8,0.0,1.0,105.87,105.87,105.87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RInimageB_
Mk12,40,0.025,0.0,93.98,93.98,93.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A1Mg-_-
Beryl M762,37,0.027,0.0,214.94,214.94,214.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,miantiannanren
M249,63,0.016,0.0,54.08,54.08,54.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Qkn6
ACE32,57,0.088,0.5,45.574,19.64,83.82,1.0,0.0,9.0,0.0,0.0,0.0,0.0,oo1ioo
Frag Grenade,1,1.0,0.0,40.83,40.83,40.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MSZ-Ban
M416,30,0.033,0.0,21.73,21.73,21.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,kaijiaw
Mini14,28,0.143,0.0,161.755,159.01,165.54,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6buyaohejiu
AUG,149,0.047,0.125,61.77125,26.54,197.24,2.0,0.0,6.0,0.0,0.0,0.0,0.0,AVG_LuckDec11o_0
M16A4,18,0.278,0.0,20.312,5.58,38.64,1.0,0.0,4.0,0.0,0.0,0.0,0.0,AVG_LuckDec11o_0
Mk12,48,0.125,0.0,209.1933333333333,163.13,267.46,1.0,0.0,4.0,0.0,1.0,0.0,0.0,AVG_LuckDec11o_0
M416,47,0.064,0.0,2.373333333333333,0.82,5.47,1.0,0.0,2.0,0.0,0.0,0.0,0.0,caidiabo
Mk12,46,0.13,0.4545454545454545,84.24090909090908,14.05,238.9,2.0,0.0,3.0,1.0,1.0,4.0,0.0,caidiabo
M416,35,0.057,0.0,85.85,84.66,87.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,N2_KeGeGe
Beryl M762,141,0.021,0.0,39.58,21.7,61.98,0.0,0.0,3.0,0.0,0.0,0.0,0.0,AerYouok_HaoZhu
Thompson,40,0.125,0.6153846153846154,21.62846153846154,19.87,23.02,0.0,0.0,8.0,1.0,0.0,4.0,0.0,AerYouok_HaoZhu
ACE32,13,0.077,0.0,31.5,31.5,31.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,M4A_Yb448
Frag Grenade,2,0.5,0.0,41.6,41.6,41.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M4A_Yb448
M24,17,0.412,0.2222222222222222,198.9233333333333,6.49,390.32,6.0,0.0,0.0,2.0,0.0,1.0,0.0,nba1374
M416,114,0.14,0.4838709677419355,23.345806451612905,1.81,73.13,14.0,0.0,6.0,4.0,0.0,7.0,0.0,nba1374
Vector,82,0.146,0.5555555555555556,30.503703703703703,22.6,52.74,25.0,0.0,2.0,0.0,0.0,0.0,0.0,HM-TC
ACE32,44,0.182,0.1111111111111111,63.11333333333333,42.32,78.39,4.0,0.0,2.0,1.0,2.0,0.0,0.0,Gfengi_0
Beryl M762,26,0.192,0.0,4.91,0.74,12.05,2.0,0.0,2.0,0.0,1.0,0.0,0.0,Gfengi_0
Frag Grenade,5,0.6,0.0,54.31666666666666,45.38,61.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Gfengi_0
AKM,43,0.163,0.4615384615384615,36.38769230769231,21.26,45.47,1.0,0.0,8.0,1.0,0.0,3.0,0.0,AerYouok_LH
Frag Grenade,3,0.333,0.5,22.435,7.11,37.76,0.0,0.0,0.0,0.0,0.0,0.0,2.0,AerYouok_LH
P90,48,0.042,0.8,13.269,1.06,87.21,1.0,0.0,2.0,0.0,4.0,3.0,0.0,AerYouok_LH
ACE32,12,0.167,0.0,45.47,45.47,45.47,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MSZ-Xxs
Beryl M762,18,0.167,0.0,12.876666666666663,12.87,12.89,1.0,0.0,1.0,0.0,1.0,0.0,0.0,suuy7520
Groza,41,0.049,0.8,17.54,6.66,60.7,3.0,0.0,5.0,1.0,1.0,0.0,0.0,suuy7520
Kar98k,11,0.182,0.7142857142857143,157.16857142857145,83.98,266.46,2.0,0.0,5.0,0.0,0.0,0.0,0.0,suuy7520
AWM,8,0.25,0.6,114.26,102.2,124.37,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4AM_SuperXQMms
Beryl M762,20,0.0,1.0,20.074,19.99,20.18,1.0,0.0,2.0,0.0,0.0,2.0,0.0,4AM_SuperXQMms
Frag Grenade,5,0.8,0.2,59.778,34.24,68.21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4AM_SuperXQMms
M24,26,0.115,0.0,208.58,114.36,267.86,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4AM_SuperXQMms
M24,2,1.0,0.0,154.365,149.97,158.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Home-Blank
M416,82,0.146,0.4285714285714285,25.115714285714283,4.19,44.15,2.0,0.0,11.0,0.0,5.0,3.0,0.0,Home-Blank
ACE32,135,0.037,0.5454545454545454,67.37363636363636,54.01,70.97,0.0,0.0,6.0,1.0,2.0,2.0,0.0,Cizzzzz9o
Frag Grenade,2,0.0,1.0,54.59,54.59,54.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cizzzzz9o
Frag Grenade,2,0.5,0.0,25.81,25.81,25.81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aorunji-
Mini14,11,0.182,0.0,199.78,193.57,205.99,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Aorunji-
Frag Grenade,2,1.0,0.0,23.96,7.02,40.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Lethe-1995
Kar98k,7,0.429,0.0,137.01333333333335,134.15,140.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Lethe-1995
Beryl M762,69,0.043,0.0,82.32000000000001,74.68,86.16,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17_deepseA-_-
MP5K,26,0.077,0.0,41.54,41.04,42.04,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1xa2
