weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Frag Grenade,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K_bin2
Frag Grenade,4,0.25,0.5,35.365,30.91,39.82,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Xiongovo-
M416,128,0.188,0.4666666666666667,26.368,1.28,113.32,4.0,0.0,17.0,11.0,2.0,11.0,0.0,Xiongovo-
Mk12,13,0.154,0.0,152.11,152.11,152.11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Xiongovo-
ACE32,25,0.04,0.0,6.62,6.62,6.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DK_TiaNox
AUG,57,0.088,0.16666666666666666,28.148333333333337,18.75,59.43,2.0,0.0,4.0,0.0,0.0,0.0,0.0,DK_TiaNox
M416,18,0.278,0.375,22.208750000000002,19.28,38.75,3.0,0.0,3.0,0.0,1.0,1.0,0.0,gang_Do_
M416,32,0.188,0.7,1.371,0.5,3.73,1.0,0.0,15.0,1.0,1.0,2.0,0.0,08i0-_
Beryl M762,58,0.052,0.0,45.72,19.67,69.82,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Yiiy1_-
SKS,10,0.1,0.0,48.31,48.31,48.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yiiy1_-
AUG,29,0.103,0.0,10.21,10.17,10.24,0.0,0.0,2.0,1.0,0.0,0.0,0.0,Heaven-97
Mini14,4,0.75,0.0,129.14,105.39,175.57,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Heaven-97
Beryl M762,32,0.031,0.0,68.96,68.96,68.96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,GoDxRY_
Mini14,1,1.0,0.0,68.93,68.93,68.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,JAEHAPANG
MP5K,29,0.138,0.7894736842105263,7.419999999999999,6.78,8.16,0.0,0.0,1.0,3.0,1.0,14.0,0.0,Aixleft_Bei
AUG,83,0.084,0.4166666666666667,39.42583333333334,32.76,54.95,1.0,0.0,7.0,1.0,0.0,3.0,0.0,woyaot1annib
Frag Grenade,5,0.2,0.0,28.56,28.56,28.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,woyaot1annib
Mini14,22,0.227,0.0,91.474,48.26,118.65,2.0,0.0,1.0,0.0,1.0,1.0,0.0,woyaot1annib
Thompson,30,0.033,0.0,31.09,31.09,31.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,POK-UYYU
MP5K,36,0.111,0.6363636363636364,3.983636363636364,2.93,5.99,3.0,0.0,4.0,1.0,0.0,3.0,0.0,xiaocainiaole
MP5K,33,0.091,0.25,19.1125,18.96,19.47,1.0,0.0,1.0,0.0,2.0,0.0,0.0,ioK91-_
Mini14,9,0.111,0.8,4.724,3.45,6.66,1.0,0.0,3.0,0.0,1.0,0.0,0.0,WpgbskxrvjRfs
AUG,17,0.176,0.0,19.03,18.38,19.36,0.0,0.0,3.0,0.0,0.0,0.0,0.0,flyAce
Mk12,32,0.031,0.0,322.71,322.71,322.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,flyAce
MP5K,57,0.088,0.375,46.69875,2.53,55.63,3.0,0.0,5.0,0.0,0.0,0.0,0.0,AixLeft_zts
Mk12,4,0.5,0.0,91.84,91.35,92.33,0.0,0.0,1.0,0.0,1.0,0.0,0.0,woa1daniuniu
AUG,16,0.125,0.0,69.47,69.47,69.47,0.0,0.0,0.0,0.0,0.0,2.0,0.0,weiguang---12
Mk12,16,0.25,0.3333333333333333,93.43333333333334,86.56,101.45,1.0,0.0,3.0,1.0,0.0,1.0,0.0,weiguang---12
M24,1,1.0,0.0,76.75,76.75,76.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,929651006
AKM,80,0.088,0.0,149.79714285714286,46.42,193.84,0.0,0.0,4.0,0.0,1.0,2.0,0.0,YOYO-0258
UMP45,46,0.109,0.5833333333333334,5.695,1.55,33.06,0.0,0.0,6.0,4.0,1.0,1.0,0.0,Ark_MK14
Frag Grenade,2,0.5,0.5,79.50999999999999,77.5,81.52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Lianmin-Hua
M416,55,0.109,0.6,14.022,5.0,23.46,1.0,0.0,7.0,3.0,2.0,2.0,0.0,Lianmin-Hua
Mk14,126,0.087,0.26666666666666666,85.13066666666667,59.21,316.15,2.0,0.0,7.0,1.0,1.0,4.0,0.0,Lianmin-Hua
Molotov Cocktail,4,0.25,0.0,39.18,39.18,39.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lianmin-Hua
AUG,9,0.111,0.6666666666666666,38.67333333333334,38.63,38.76,1.0,0.0,0.0,1.0,0.0,1.0,0.0,M1ng_Nu
Beryl M762,135,0.059,0.3333333333333333,29.52333333333333,3.93,57.59,5.0,0.0,3.0,0.0,1.0,3.0,0.0,M1ng_Nu
Frag Grenade,5,0.2,0.0,67.13,67.13,67.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,M1ng_Nu
